grade, level, telkomedika, bpjs
4, staff, kelas 2, kelas1
5, staff, kelas 2, kelas1
6, staff, kelas 2, kelas1
7, supervisor/office, kelas 2, kelas 1
8, supervisor/office, kelas 2, kelas 1
9, assistant manager/senior officer, kelas 1, kelas 1
10, assistant manager/senior officer, kelas 1, kelas 1
11, manager/specialist, vip, kelas 1
12, manager/specialist, vip, kelas 1
13, senior manager/senior specialist, vip, kelas 1
14, senior manager/senior specialist, vip, kelas 1
15, senior manager/senior specialist, vip, kelas 1